Title;Company;Location;Description
(HCM) - Senior Data Engineer;;Ho Chi Minh City, Vietnam (On-site);"About the job
A. Job Responsibilities:
Lead the team technically in improving scalability, stability and efficiency of our Data platform
Design, build and deploy new libraries and frameworks for our core systems while keeping highest standards of code quality
Cooperate with other engineers and Product owners to identify and build incremental products through Scrum sprint
Understand the following technologies and navigate them properly: Python, Scala, Spark, SQL etc.
Collaborate with the Data Architect team on regular basic to design/review data models, and application architectures
Maintain software clean architecture, clean code, and high quality.
Participate in code reviews, pair programming, mob programming, and coaching other members

B. Job Requirements:
1. Must have:
Bachelor’s or Master’s degree in Computer Science, Software Engineering, Information Technology, or a related technical field
English is required
Have 5+ years of experience as a Data Engineer or Software Engineer
Have experience in Cloud (AWS/Azure/GCP)
Extremely proficient in at least 1 programming language (Python/Scala/Java)
Strong experience in systems architecture – particularly in complex, scalable, and fault-tolerant distributed systems
Good at multi-threading, atomic operations, computation framework: Spark (DataFrame, SQL, ...), distributed storage, distributed computing
Understand designs of resilience, fault-tolerance, high availability, and high scalability, ...
Tools: CI/CD, Gitlab, ...
Good at communication & team working
Being open-minded, willing to learn new things

2. Nice to have:
Databricks is a plus
Experience in performance tuning/optimizing Big Data programs

C. Working location: 23 Le Duan, HCM

D. Hiring process: Homework => Technical interview => English test => Offer => Onboard"
(HCM) - Senior Data Engineer;Techcombank (TCB);Ho Chi Minh City, Vietnam (On-site);"About the job
A. Job Responsibilities:
Lead the team technically in improving scalability, stability and efficiency of our Data platform
Design, build and deploy new libraries and frameworks for our core systems while keeping highest standards of code quality
Cooperate with other engineers and Product owners to identify and build incremental products through Scrum sprint
Understand the following technologies and navigate them properly: Python, Scala, Spark, SQL etc.
Collaborate with the Data Architect team on regular basic to design/review data models, and application architectures
Maintain software clean architecture, clean code, and high quality.
Participate in code reviews, pair programming, mob programming, and coaching other members

B. Job Requirements:
1. Must have:
Bachelor’s or Master’s degree in Computer Science, Software Engineering, Information Technology, or a related technical field
English is required
Have 5+ years of experience as a Data Engineer or Software Engineer
Have experience in Cloud (AWS/Azure/GCP)
Extremely proficient in at least 1 programming language (Python/Scala/Java)
Strong experience in systems architecture – particularly in complex, scalable, and fault-tolerant distributed systems
Good at multi-threading, atomic operations, computation framework: Spark (DataFrame, SQL, ...), distributed storage, distributed computing
Understand designs of resilience, fault-tolerance, high availability, and high scalability, ...
Tools: CI/CD, Gitlab, ...
Good at communication & team working
Being open-minded, willing to learn new things

2. Nice to have:
Databricks is a plus
Experience in performance tuning/optimizing Big Data programs

C. Working location: 23 Le Duan, HCM

D. Hiring process: Homework => Technical interview => English test => Offer => Onboard"
Quality Assurance Automation Engineer;Astek Vietnam;Hanoi Capital Region (On-site);"About the job
Position : AUTOMATION TEST
Quantity : 05 (1 LEADER – 4 SENIOR/ MIDDLE)
Type : Full-time
Company location : 5th Floor, TTC Building, No. 19 Duy Tan St., Dich Vong Hau Ward, Cau Giay Dist., Hanoi Capital, Vietnam
Working location : Hanoi Capital/ HCM City
ABOUT US
Astek is a global player in engineering and technology consulting, founded in France in 1988. Today, we are +7500 engineers across over 22 countries in the world.
With expertise in many industrial and tertiary sectors, we support our international clients in the intelligent deployment of their products and services, and in the implementation of their digital transformation.
Astek Vietnam is established in 2022 to increase group’s capability to support our clients’ operation around the globe, leveraging Vietnam talented engineers. 
More information about our group: https://astekgroup.fr/ 
JOB DESCRIPTION & REQUIREMENTS
Responsibilities: 
● Participate in product design reviews to refine requirements
 ● Work closely with product and development team to have strong understanding of product and testing objectives
 ● Design and document comprehensive test plans and test cases
 ● Design and implement test automation frameworks for API interfaces, and create automated tests that are efficient, reliable and reusable
 ● Ensure comprehensive test coverage and report on test execution progress and results
 ● Ensure quality of the product throughout SDLC and enforce coding standards and shift-left testing to improve and ensure code quality
 ● Identify, document, and manage defects; collaborate with different teams to perform root cause analysis
 ● Evaluate testing tools and test frameworks to be used within project
 ● Participate in QA process improvement
 ● Provide ad hoc support when required to our support team in the investigation of potential issues
 ● Become a recognized expert across the Division and be used to using their comprehensive knowledge to take the lead
 ● Use well developed and comprehensive judgment to make decisions of high complexity and impact, utilising team opinion and senior leadership where needed but often use autonomy in decision making
Relevant Work Experience:
Strong software engineering fundamentals
Proficient in the following languages: Java and JavaScript
Proficient in planning and executing functional and non-functional tests
Experience in architecting and developing test automation frameworks for UI and API testing
Experience in automation testing tools: 
Need to have: Selenium, Karate, JUnit, RestAssured, Postman, etc
A plus (If have): Cucumber/Cypress
Experience in performance testing tools: Apache JMeter, LoadRunner
Experience in setting up test environment and test pipeline with CI tools: Jenkins, Github Actions
Experience working within Agile environment
Wholesale banking, clearing and settlements experience will be a plus
Bachelor’s/Master’s degree in computer science, engineering, or equivalent
Excellent communication and able to multitask effectively
Proficiency in English is required
 BENEFITS
Attractive salary: Nego. Performance based award.
Young and dynamic working environment.
Continuous development of hard and soft skills through work and professional training.
Opportunity to approach newest technology trends.
Salary reviews 1 times/year or on excellent performance
Company’s labor policy completely pursuant to Vietnamese labor legislation plus other benefits offered by the company (Company trip, Holiday, etc.)
CONTACT
ASTEK VIETNAM
Contact Person: Ms. Dzung Nguyen
Phone Number: +84 969988029
Email: Thi-Kim-Dung.NGUYEN@astek.net
Website: https://astekgroup.fr/?lang=en"
Data Engineer (Middle/Senior);Techcombank (TCB);Hanoi Capital Region (On-site);"About the job
DATA ENGINEER

A. Job Responsibilities:

Lead the team technically in improving scalability, stability and efficiency of our Data platform

Design, build and deploy new libraries and frameworks for our core systems while keeping highest standards of code quality

Cooperate with other engineers and Product owners to identify and build incremental products through Scrum sprint

Understand the following technologies and navigate them properly: Python, Scala, Spark, SQL etc.

Collaborate with the Data Architect team on regular basic to design/review data models, and application architectures

Maintain software clean architecture, clean code, and high quality.

Participate in code reviews, pair programming, mob programming, and coaching other members

B. Job Requirements:

1. Must have:

Bachelor’s or Master’s degree in Computer Science, Software Engineering, Information Technology, or a related technical field

English is required

Have 4+ years of experience as a Data Engineer or Software Engineer

Have experience in Cloud (AWS/Azure/GCP)

Extremely proficient in at least 1 programming language (Python/Scala/Java)

Strong experience in systems architecture – particularly in complex, scalable, and fault-tolerant
distributed systems

Good at multi-threading, atomic operations, computation framework: Spark (DataFrame, SQL,..) distributed storage, distributed computing

Understand designs of resilience, fault-tolerance, high availability, and high scalability, ...

Tools: CI/CD, Gitlab, ...

Good at communication & team working

Being open-minded, willing to learn new things

2. Nice to have:

Databricks is a plus

Experience in performance tuning/optimizing Big Data programs

Locaiton: HO Techcombank - 06 Quang Trung - Hoan Kiem - Ha Noi"
Chuyên viên Quản trị Cơ sở dữ liệu - Database Administrator - Khối Công nghệ thông tin (HO25.295);MBBank;Hanoi Capital Region (On-site);"About the job
JOB DESCRIPTION: 
Manage and ensure the operation of the bank’s database systems, covering one or multiple types: MongoDB, PostgreSQL, NoSQL, Oracle, SQL Server, MySQL/MariaDB.
Deploy, configure, monitor, optimize performance, and implement changes and upgrades to database systems.
Build and implement backup solutions, database monitoring tools (Grafana/Prometheus, etc.), and automation tools for database system operations.
Participate in bank projects related to data and database management.

JOB REQUIREMENT: 
Bachelor's degree in Information Technology, Mathematical Informatics, Electronics and Telecommunications, etc.
Open to fresh graduates (minimum GPA of Good or higher).
Preferably experienced with Prometheus/Grafana monitoring tools or ETL software management.
Experience in SQL/PLSQL, bash shell scripting, Linux/Unix/Windows environments.
Holding certifications like MariaDB, OCA, OCP (Oracle), MS SQL Server is an advantage.
Strong research, documentation, presentation, analysis, and problem-solving skills.
Good teamwork and independent working skills.
Good English proficiency, capable of working directly with international partners.
Honest, reliable, cautious, and able to work under pressure."
Kỹ sư quản lý chất lượng và phát triển nhà cung cấp, Mô-đun máy ảnh;Google;Hanoi, Hanoi, Vietnam (On-site);"About the job
Please visit this Google Careers posting for the English-translated version of this role.Minimum qualifications:

Bằng cử nhân ngành Kỹ thuật cơ khí, Kỹ thuật điện, Kỹ thuật công nghiệp hoặc kinh nghiệm thực tế tương đương.
5 năm kinh nghiệm ở vị trí kỹ sư quy trình/sản xuất/chất lượng.
2 năm kinh nghiệm làm việc ở các mảng Động cơ cuộn dây dao động/Ổn định hình ảnh quang học/Tự động lấy nét/Camera, cũng như quy trình sản xuất và lắp ráp liên quan.

Preferred qualifications:

ằng thạc sĩ ngành Kỹ thuật hoặc kinh nghiệm thực tế tương đương.
5 năm kinh nghiệm giám sát hoạt động cải thiện năng suất và rút ngắn thời gian hoàn thành chu trình sản xuất các bộ phận có số lượng và độ phức tạp cao.
Kinh nghiệm làm việc với các công cụ, phương pháp thống kê và quản lý chất lượng.
Kinh nghiệm kiểm định quy trình trong các giai đoạn tạo dựng, chẳng hạn như Tạo nguyên mẫu, Kiểm tra thẩm định kỹ thuật, Kiểm tra thẩm định thiết kế, Kiểm tra thẩm định sản xuất, Sản xuất hàng loạt.
Kinh nghiệm quản lý dự án, bao gồm cả kỹ năng xử lý dữ liệu, biên soạn tài liệu, ra quyết định quan trọng và kỹ năng tổ chức.

About the jobGoogle sở hữu một trong những cơ sở hạ tầng điện toán lớn nhất và mạnh mẽ nhất thế giới. Nhóm của bạn chịu trách nhiệm đảm bảo năng lực sản xuất để triển khai cơ sở hạ tầng tối tân này. Với vai trò Kỹ sư sản xuất, bạn sẽ đánh giá các mẫu thiết kế sản phẩm, cũng như xây dựng các quy trình, công cụ và quy tắc triển khai làm nên công nghệ tìm kiếm mạnh mẽ của Google. Khi nhà cung cấp xây dựng thành phần cho cơ sở hạ tầng của Google, bạn sẽ phối hợp với họ để đảm bảo có thể kiểm soát và áp dụng các quy trình sản xuất nhiều lần. Bạn sẽ cộng tác với Quản lý của bộ phận Nguyên liệu cũng như Kỹ sư thiết kế để xác định nhu cầu của Google về cơ sở hạ tầng và thông số kỹ thuật của sản phẩm. Công việc của bạn là đảm bảo các thành phần trong cơ sở hạ tầng của Google tương thích với nhau một cách hoàn hảo, đồng thời đảm bảo hệ thống của chúng ta luôn hoạt động trơn tru để mang lại trải nghiệm liền mạch cho người dùng. Đội ngũ Google Pixel tập trung vào việc thiết kế và truyền tải những trải nghiệm di động hữu ích nhất thế giới. Những con người này làm việc hăng say nhằm định hình tương lai của thiết bị và dịch vụ Pixel thông qua các thiết kế, công nghệ, sản phẩm và trải nghiệm tiên tiến nhất trong lĩnh vực điện tử tiêu dùng. Một phần của mục tiêu đầy tham vọng này chính là kết hợp trí tuệ nhân tạo, phần mềm và phần cứng tốt nhất của Google để tạo ra các dòng điện thoại thông minh vươn tầm toàn cầu, cũng như mang đến trải nghiệm đột phá cho người dùng trên toàn thế giới.

Responsibilities

Cộng tác với các nhà cung cấp và các nhóm kỹ thuật trong quy trình đánh giá công nghệ xử lý dựa trên yêu cầu đặt ra. Đề xuất và phát triển bản thiết kế sản xuất (bao gồm cả quy trình công nghệ, thiết bị, thiết kế chi tiết cố định, lịch trình triển khai) và kế hoạch thẩm định cho các bản dựng kỹ thuật và sản xuất hàng loạt.
Thúc đẩy tiến trình giải quyết các vấn đề về kỹ thuật và vận hành của dự án (vật liệu/quy trình/chi tiết cố định/thiết bị, v.v.) trong giai đoạn Ra mắt sản phẩm mới (NPI) để hỗ trợ đưa một quy trình và sản phẩm hoàn thiện vào giai đoạn sản xuất hàng loạt.
Hướng dẫn nhà cung cấp bằng cách đưa ra chỉ dẫn kỹ thuật để thiết lập và kiểm định khả năng xử lý (thông qua các công cụ thống kê) trong giai đoạn NPI nhằm liên tục cung cấp sản phẩm chất lượng khi sản xuất hàng loạt.
Tham gia các hoạt động phát triển cùng các phòng ban liên ngành để giải quyết vấn đề kỹ thuật, phát hiện sớm và nêu rõ rủi ro về chất lượng cho các nhóm chủ chốt và đội ngũ quản lý.
Chịu trách nhiệm về quy trình kiểm tra và sản xuất dây chuyền lắp ráp camera. Dẫn dắt việc xây dựng và phát triển các quy trình sản xuất để đáp ứng các thiết kế sản phẩm cũng như các yêu cầu về chức năng.


Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form ."
Chuyên viên Cao cấp Kiến trúc Giải pháp Dữ liệu - Data Architect - Khối Dữ liệu (HO25.298);MBBank;Hanoi Capital Region (On-site);"About the job
Job Description:
Develop and contribute to processes and regulations related to data architecture and data modeling.
Ensure data architectures comply with the bank’s approved standards and frameworks.
Research, propose, plan, and consult on data solutions to meet analytics and reporting requirements.
Receive, assess, plan, and provide consultation on solutions for data products and services requested by business units.
Build and deliver data products/services, ensuring timely delivery and adherence to committed quality standards.

Job requirement: 
Bachelor’s degree or higher in Information Technology, Computer Science, Applied Mathematics, Information Systems, or a related field.
At least 5–7 years of experience in Data Architecture, Data Engineering, or related positions, with a focus on designing and implementing data architectures, especially in digital transformation or digital platform projects within the banking sector.
Experience working with databases such as Oracle, PostgreSQL, MongoDB, and Redis.
Experience working with storage technologies such as S3 and HDFS.
Proficient in using data technologies such as ODI, Datastage, Spark, and Flink.
Hands-on experience with Cloud platforms (AWS, Azure, GCP, etc.).
Solid understanding of banking systems and operations."
Senior Data Scientist - AI;Take-Two Interactive;Can Tho, Can Tho, Vietnam (On-site);"About the job
Who We Are

Headquartered in New York City, Take-Two Interactive Software, Inc. is a leading developer, publisher, and marketer of interactive entertainment for consumers around the globe. We develop and publish products principally through Rockstar Games, 2K, and Zynga. Our strategy is to create hit entertainment experiences, delivered on every platform relevant to our audience through a variety of sound business models. Our pillars - creativity, innovation, and efficiency - guide us as we strive to create the highest quality, most captivating experiences for our consumers. The Company’s common stock is publicly traded on NASDAQ under the symbol TTWO. For more corporate and product information please visit our website at http://www.take2games.com.

While our offices (physical and virtual) are casual and inviting, we are deeply committed to our core tenets of creativity, innovation and efficiency, and individual and team development opportunities. Our industry and business are continually evolving and fast-paced, providing numerous opportunities to learn and hone your skills. We work hard, but we also like to have fun, and believe that we provide a great place to come to work each day to pursue your passions.

The Challenge

T2’s AI group focuses on developing innovative ways to solve problems within the game development process, demonstrating directly the ways that AI can improve the creativity and efficiency of team members across T2 and its subsidiaries. Our team is multi-disciplinary, and we build cloud-based tools and technologies to support every aspect of the development process, from concept development through to live ops and publishing operations.

We are seeking a passionate and talented senior AI developer with proven experience working at the intersection of AI, games, and computational creativity. You will join our research team, working on advancing our internal AI capabilities, creating innovative technical prototypes, and building out our toolset in collaboration with game and product teams.

The ideal candidate will have a solid understanding of diverse AI methods and computational approaches in the games space, and a track record of designing and building AI prototypes and software. You should be able to work independently, and have excellent communication skills to effectively share your knowledge.

What You’ll Take On

Design and build AI systems that solve computational creativity challenges
Work with game and product teams to identify needs and propose novel AI solutions
Plan out and implement software systems, working effectively and skillfully
Write well-crafted, efficient and testable code, algorithms, and services
Communicate effectively in a collaborative inter-disciplinary environment

What You Bring

Ph.D. in computer science or related area, with specialization in AI, or equivalent experience
Experience building AI systems for games, such as procedural content generation, procedural narrative, or computational creativity
Understanding of a variety of AI techniques and the ability to weigh their strengths and weaknesses with regard to specific problems
Familiarity with principles of game design and implementation
Familiarity with Python, and at least one of Typescript, C++, or Unity C#
Familiarity with containers and cloud infrastructure principles - AWS preferred
Desire to learn and share knowledge with peers, collaborate in a cross-functional team
Familiarity with public speaking and giving effective presentations
Previous games industry experience a plus

What We Offer You

Great Company Culture. Ranked as one of the most creative and innovative places to work, creativity, innovation, efficiency, diversity and philanthropy are among the core tenets of our organization and are integral drivers of our continued success.
Growth. As a global entertainment company, we pride ourselves on creating environments where employees are encouraged to be themselves, inquisitive, collaborative and to grow within and around the company.
Work Hard, Play Hard. Our employees bond, blow-off steam, and flex some creative muscles – through corporate boot camp classes, company parties, game release events, monthly socials, and team challenges.
Benefits. Medical, dental, vision, pension plan, employee stock purchase plan, commuter benefits, in-house wellness program, broad learning & development opportunities, a charitable giving platform with company match and more!
Perks. Fitness allowance, employee discount programs, free games & events, stocked pantries and the ability to earn up to $500+ per year for taking care of yourself and more.

Please be aware that Take-Two does not conduct job interviews or make job offers over third-party messaging apps such as Telegram, WhatsApp, or others. Take-Two also does not engage in any financial exchanges during the recruitment or onboarding process, and the Company will never ask a candidate for their personal or financial information over an app or other unofficial chat channel. Any attempt to do so may be the result of a scam or phishing exercise. Take-Two’s in-house recruitment team will only contact individuals through their official Company email addresses (i.e., via a take2games.com email domain). If you need to report an issue or otherwise have questions, please contact Careers@take2games.com

As an equal opportunity employer, Take-Two Interactive Software, Inc. (“Take-Two”) is committed to fostering and celebrating the diverse thoughts, cultures, and backgrounds of its talent, partners, and communities throughout its organization. Consistent with this commitment, Take-Two does not discriminate or retaliate against any employee or job applicant because of their race, color, religion, sex (including pregnancy, sexual orientation, and gender identity), national origin, age, disability, and genetic information (including family medical history), or on the basis of any other trait protected by applicable law. If you need to report a concern or have questions regarding Take-Two’s equal opportunity commitment, please contact Careers@take2games.com."
Middle/Senior Software Engineer (C++/Python);Hyphen Deux Co. Ltd.;Ho Chi Minh City, Vietnam (On-site);"About the job
Benefits: ~$3000–$6000/month, depending on experience and qualifications
Location: Saigon Hi-Tech Park (SHTP), Ho Chi Minh City, Vietnam
Work Arrangement: Flexible – remote options available if necessary
Role Overview
We are looking for a Middle/Senior Software Engineer (C++/Python) to join our team working on software development for Neural Processing Units (NPU). You will contribute directly to building a neural network compiler based on the Apache TVM framework. This role requires a strong foundation in systems programming, algorithm implementation, and the ability to work with complex software stacks targeting diverse hardware architectures.
Duties & Responsibilities
Develop and optimize components in C++17 and Python within the neural network compiler stack.
Implement and test complex algorithms and transformations for neural network computation graphs.
Work with graph-based data structures, including Directed Acyclic Graphs (DAGs).
Navigate and extend large, unfamiliar codebases efficiently.
Contribute to build systems and automation using Make, CMake, and Python scripting.
Support cross-compilation and portable code development across architectures (x86, ARM, etc.).
Integrate and interface with various hardware targets such as GPUs, TPUs, and FPGAs.
Collaborate using Git-based workflows (GitHub, GitLab, Bitbucket).
Candidate RequirementsEducation & Experience
Bachelor’s or Master’s degree in Computer Science, Software Engineering, or related fields.
3–5+ years of experience in software development, preferably in systems or compiler-level programming.
Technical Skills
Advanced proficiency in C++17 and STL.
Advanced proficiency in Python for development and automation.
Solid understanding of memory management, performance optimization, and software portability.
Experience with build tools: Make, CMake.
Strong grasp of cross-compilation techniques and multi-architecture support.
Familiarity with version control systems: Git, GitLab, GitHub, Bitbucket.
Ability to develop and debug complex algorithmic codebases.
Preferred (Bonus) Skills
Experience with Apache TVM or other deep learning compiler stacks.
Understanding of quantized neural networks or quantum operation simulation.
Knowledge of LLVM internals and compiler theory.
Experience with ONNX, PyTorch, and TensorFlow frameworks.
Familiarity with serialization tools like FlatBuffers or Protocol Buffers.
Knowledge of Foreign Function Interface (FFI) mechanisms.
Experience working with Verilog/VHDL or hardware abstraction layers.
Apply Now
If you're excited about compilers, machine learning infrastructure, and building software for cutting-edge hardware, we’d love to hear from you.

Email: hr@hyphendeux.com
Phone: (+84) 989800054
Website: www.hyphendeux.com"
Kỹ sư phát triển giải pháp Oracle - Oracle Developer (PL/SQL, ETL, OFSAA) - Khối Công nghệ thông tin (HO25.287);MBBank;Hanoi Capital Region (On-site);"About the job
Job Description:
Participate in the development of internal management systems on Oracle platforms (OFSAA, EBS, APEX, etc.).
 Design and build databases tailored to specific business functions.
 Develop PL/SQL database code and implement backend functionalities at the database layer.
 Use T2T for data transformation and develop PL/SQL procedures.
 Perform database performance tuning to ensure optimal system performance.
 Implement ETL processes and generate reports and dashboards using Oracle tools (BI, OAS, etc.).
 Collaborate with Oracle support and partners to troubleshoot and resolve issues via Oracle CSI.

Job Requirements:
Bachelor’s degree in Information Technology, Applied Mathematics & Informatics, Electronics & Telecommunications, Accounting, or Finance & Banking, etc.
 Proficient in at least one programming language: SQL/PLSQL, NoSQL, or Java.
 Experience in developing with at least one ETL or reporting tool (e.g., Pentaho, ODI, GoldenGate, Oracle BI, Tableau, etc.).
 Preferred Qualifications:
 + Experience in development or architectural knowledge of OFSAA platform.
 + Understanding of banking, finance, insurance, or securities domains.
 + Experience with asynchronous processing, multithreading, near real-time data processing, or data streaming on platforms such as Oracle or Kafka Streams."
